Frame,middle,rear,left_hind,left_front,head,right_hind,right_front
141,"(12.0, 647.0)","(19.33, 591.33)","(-39.0, 582.0)","(-46.0, 660.0)","(-2.0, 691.0)","(52.0, 562.0)","(48.0, 678.0)"
142,"(15.0, 648.0)","(20.67, 595.67)","(-39.0, 582.0)","(-46.0, 660.0)","(-2.0, 691.0)","(52.0, 562.0)","(48.0, 678.0)"
143,"(8.0, 653.0)","(22.0, 600.0)","(-38.0, 582.0)","(-48.0, 668.0)","(0.0, 697.0)","(56.0, 580.0)","(45.0, 676.0)"
144,"(0.0, 660.0)","(24.0, 610.0)","(-34.0, 582.0)","(-51.5, 686.0)","(2.0, 704.0)","(55.0, 588.33)","(46.0, 674.0)"
145,"(-2.0, 666.0)","(26.0, 618.0)","(-36.0, 582.0)","(-60.0, 708.0)","(2.0, 710.0)","(60.0, 598.0)","(42.0, 672.0)"
146,"(-3.0, 674.0)","(18.0, 628.0)","(-38.0, 582.0)","(-52.25, 713.67)","(9.0, 718.0)","(62.0, 616.0)","(38.0, 672.0)"
147,"(0.0, 681.0)","(16.0, 634.0)","(-38.0, 584.0)","(-49.0, 746.0)","(6.0, 722.0)","(70.0, 628.0)","(34.0, 670.0)"
148,"(0.0, 681.0)","(16.0, 634.0)","(-38.0, 584.0)","(-49.0, 746.0)","(6.0, 722.0)","(70.0, 628.0)","(34.0, 670.0)"
149,"(2.0, 684.0)","(14.0, 627.0)","(-38.0, 586.0)","(-48.0, 756.0)","(11.0, 728.0)","(62.5, 640.0)","(26.0, 670.0)"
150,"(-6.0, 689.0)","(12.0, 640.0)","(-34.0, 588.0)","(-41.0, 766.0)","(6.0, 732.0)","(51.0, 659.0)","(26.0, 678.0)"
151,"(-2.0, 694.0)","(6.0, 640.0)","(-34.0, 590.0)","(-39.0, 777.0)","(8.0, 738.0)","(65.38, 647.25)","(21.0, 682.0)"
153,"(-12.0, 692.0)","(4.0, 640.0)","(-50.0, 602.0)","(-54.0, 740.0)","(1.0, 738.0)","(38.17, 633.83)","(42.0, 710.0)"
154,"(-12.0, 692.0)","(6.0, 640.0)","(-50.0, 602.0)","(-54.0, 740.0)","(1.0, 738.0)","(38.19, 638.64)","(44.0, 710.0)"
155,"(-10.0, 698.0)","(6.0, 643.0)","(-52.0, 602.0)","(-50.0, 758.0)","(0.0, 744.0)","(38.73, 648.25)","(40.0, 708.0)"
156,"(-10.0, 698.0)","(6.0, 646.0)","(-50.0, 604.0)","(-49.0, 758.0)","(0.0, 744.0)","(32.0, 664.0)","(40.0, 708.0)"
157,"(-10.0, 704.0)","(6.0, 649.0)","(-48.0, 606.0)","(-48.5, 771.0)","(1.0, 748.0)","(42.32, 662.31)","(40.0, 708.0)"
158,"(-9.0, 711.0)","(6.0, 654.0)","(-42.0, 610.0)","(-46.0, 790.0)","(9.0, 756.0)","(44.01, 671.09)","(42.0, 712.0)"
159,"(-10.0, 716.0)","(3.33, 657.33)","(-36.0, 612.0)","(-42.0, 802.0)","(8.0, 760.0)","(50.05, 677.07)","(44.0, 710.0)"
160,"(-10.0, 716.0)","(0.67, 660.67)","(-38.0, 612.0)","(-42.0, 802.0)","(8.0, 760.0)","(60.0, 687.0)","(44.0, 710.0)"
161,"(-6.0, 722.0)","(-2.0, 664.0)","(-39.0, 616.0)","(-37.0, 807.0)","(13.0, 768.0)","(64.0, 692.0)","(46.0, 715.0)"
162,"(0.0, 728.0)","(1.0, 675.0)","(-36.0, 626.0)","(-36.0, 814.0)","(10.0, 774.0)","(60.0, 696.0)","(46.0, 714.0)"
163,"(-2.0, 732.0)","(4.0, 676.0)","(-35.0, 634.0)","(-35.0, 816.0)","(12.0, 778.0)","(60.0, 696.0)","(46.0, 714.0)"
164,"(0.0, 742.0)","(2.0, 684.0)","(-32.0, 638.0)","(-37.0, 816.0)","(18.0, 788.0)","(57.0, 696.0)","(43.0, 726.0)"
